Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
STEP ZERO — ROLES & PERMISSIONS (BUILD BEFORE FEATURE MODULES),,,,,,,,,
RBAC,DB,models/Role.js,DB,"Fields: name, description. Seed 4 roles: Owner/CEO, Manager, Stylist, Massage/Spa Therapist.",Not Started,Arnav,Critical,Phase 0,
RBAC,DB,models/Permission.js,DB,"Fields: module, action (view|create|edit|delete|approve). One row per module+action combo.",Not Started,Arnav,Critical,Phase 0,
RBAC,DB,models/RolePermission.js,DB,Many-to-many role_id + permission_id; drives dynamic left-nav.,Not Started,Arnav,Critical,Phase 0,
RBAC,DB,models/UserMenuOverride.js,DB,"user_id, permission_id, granted boolean — CEO per-user permission override.",Not Started,Arnav,High,Phase 0,
RBAC,DB,models/User.js,DB,"name, phone, email, password_hash, role_id, branch_id, is_active, created_by, created_at.",Not Started,Arnav,Critical,Phase 0,
RBAC,Backend,middleware/requirePermission.js,Backend,"requirePermission(module, action) — 403 if missing; resolves RolePermission + UserMenuOverride.",Not Started,Arnav,Critical,Phase 0,
RBAC,Backend,GET /api/auth/permissions (or /me),Backend,Returns resolved permission set for session; frontend builds menu from this.,Not Started,Arnav,Critical,Phase 0,
RBAC,Frontend,"hooks/usePermission.js — hasPermission(module, action)",Frontend,Central helper; NO scattered if(role==='owner') checks across codebase.,Not Started,Arnav,Critical,Phase 0,
RBAC,Frontend,PermissionContext.jsx,Frontend,Loads permissions at login; provides to Sidebar and route guards.,Not Started,Arnav,Critical,Phase 0,
RBAC,Frontend,ProtectedRoute.jsx,Frontend,Redirect to login; optional module+action gate per route.,Not Started,Arnav,High,Phase 0,
USER MANAGEMENT (OWNER/CEO ONLY),,,,,,,,,
User Mgmt,Backend,CRUD /api/users,Backend,"Create user (name, phone, role); soft-deactivate (is_active=false); never hard-delete with history.",Not Started,Arnav,Critical,Phase 0,
User Mgmt,Backend,PUT /api/users/:id/permission-overrides,Backend,CEO toggles individual UserMenuOverride rows.,Not Started,Arnav,High,Phase 1,
User Mgmt,Backend,Temp password + invite stub,Backend,Auto-generate temp password on create; hook for WhatsApp invite (Precious wires sender later).,Not Started,Arnav,Medium,Phase 1,
User Mgmt,Frontend,pages/users/UserList.jsx,Frontend,"List users with role, status; Owner/CEO only.",Not Started,Arnav,High,Phase 1,
User Mgmt,Frontend,pages/users/UserForm.jsx,Frontend,"Create/edit user, role dropdown, activate/deactivate.",Not Started,Arnav,High,Phase 1,
User Mgmt,Frontend,pages/users/UserPermissionOverrides.jsx,Frontend,Per-user permission toggle grid.,Not Started,Arnav,Medium,Phase 1,
User Mgmt,Frontend,pages/auth/Login.jsx,Frontend,Phone/Email + Password; single login URL for all roles; post-login redirect by permissions.,Not Started,Arnav,Critical,Phase 0,
STYLIST / THERAPIST SELF-SERVICE VIEWS,,,,,,,,,
Staff Portal,Frontend,pages/staff/MyCalendar.jsx (view only),Frontend,Stylist/Therapist sees own bookings calendar only.,Not Started,Arnav,Medium,Phase 1,Uses booking API read-only; separate file from Precious attendance views.
Staff Portal,Frontend,pages/staff/MyEarnings.jsx,Frontend,Own commission/earnings view for Stylist/Therapist roles.,Not Started,Arnav,Medium,Phase 2,
