Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
PHASE 0 — FOUNDATION (WEEK 1),,,,,,,,,
Phase 0,Foundation,Scaffold + DB + Auth + RBAC seeds,All,Arnav delivers; Precious reviews PR before branching.,Not Started,Arnav,Critical,Phase 0,
Phase 0,Foundation,Route split (arnavRoutes / preciousRoutes) merged,All,Both devs can mount modules without touching same router file.,Not Started,Both,Critical,Phase 0,
Phase 0,Done When,Owner logs in; sees role-based menu; User CRUD works,All,Exit criteria Phase 0.,Not Started,Arnav,Critical,Phase 0,
PHASE 1 — CORE OPS (WEEK 2-5),,,,,,,,,
Phase 1,Masters,All Phase 1 masters seeded and CRUD working,All,"Arnav: services, products, tax, customers. Precious: staff, shifts, package masters, WA templates.",Not Started,Both,Critical,Phase 1,
Phase 1,Transactions,Internal booking end-to-end,All,Create booking → conflict check → status updates → handoff to billing.,Not Started,Arnav,Critical,Phase 1,
Phase 1,Transactions,POS billing end-to-end,All,"Invoice with services+products, stock deduct, package redemption, split payment, GST invoice.",Not Started,Precious,Critical,Phase 1,
Phase 1,Transactions,Attendance punch + package sale,All,Punch in/out; sell package; redeem at POS.,Not Started,Precious,Critical,Phase 1,
Phase 1,Done When,"Front-desk can book, bill, punch, sell package in one day flow",All,Exit criteria Phase 1.,Not Started,Both,Critical,Phase 1,
"PHASE 2 — PAYROLL, CRM, REPORTS, DASHBOARD (WEEK 6-9)",,,,,,,,,
Phase 2,Payroll,Monthly payroll run with commission + attendance deductions,All,Threshold bonus at month-end; export Excel/PDF.,Not Started,Arnav,Critical,Phase 2,
Phase 2,CRM,Segmentation + visit log + customer profile complete,All,"Inactive tags, birthday segments visible.",Not Started,Arnav,High,Phase 2,
Phase 2,WhatsApp,Automated campaigns live (至少 appointment reminder + birthday),All,Queue-based send via Business API.,Not Started,Precious,High,Phase 2,
Phase 2,Dashboard,Owner dashboard 'showstopper' complete,All,All KPI cards and charts populated with real data.,Not Started,Arnav,Critical,Phase 2,
Phase 2,Reports,All 7 report types exportable,All,"Revenue, staff, attendance, inventory, retention, packages, campaigns.",Not Started,Both,High,Phase 2,
Phase 2,Done When,Owner sees full dashboard; payroll finalized; WhatsApp birthday campaign sent,All,Exit criteria Phase 2.,Not Started,Both,Critical,Phase 2,
PHASE 3 — FUTURE (POST CLIENT SIGN-OFF),,,,,,,,,
Phase 3,Online booking,Customer-facing booking web/PWA,All,source=online into same slot engine.,Deferred,Arnav,Medium,Phase 3,
Phase 3,Biometric attendance,InsightFace / biometric punch,All,Reuse Celeris HRMS pattern if client wants upsell.,Deferred,Precious,Low,Phase 3,
Phase 3,Receptionist role,Seed Receptionist role + permissions,All,If client hires dedicated front-desk staff.,Deferred,Arnav,Low,Phase 3,
CLIENT MEETING — OPEN ITEMS,,,,,,,,,
Client,Discovery,Exact service list & pricing for seed data,All,Service Master seed.,Blocked,Both,Critical,Phase 1,
Client,Discovery,Current system: manual vs existing software?,All,Migration effort estimate.,Blocked,Both,High,Phase 1,
Client,Discovery,Staff count for commission/payroll estimate,All,,Blocked,Both,High,Phase 1,
Client,Discovery,Customer-facing booking in Phase 1?,All,Validate internal-first assumption.,Blocked,Both,Medium,Phase 1,
Client,Discovery,WhatsApp number: new business vs existing,All,WABA setup.,Blocked,Precious,High,Phase 1,
Client,Discovery,Package interpretation: buy 2 get 1 free example,All,Real rupee amounts + service names before redemption build.,Blocked,Both,Critical,Phase 1,
ACCEPTANCE CRITERIA (UAT),,,,,,,,,
UAT,Security,Receptionist API direct call returns 403 for reports,Backend,Server-side RBAC enforced — not just hidden menu.,Not Started,Arnav,Critical,Phase 2,
UAT,Billing,Multi-stylist invoice attributes commission per line,Backend,InvoiceLineItem.staff_id per line verified.,Not Started,Precious,Critical,Phase 1,
UAT,Packages,Redemption audit trail links invoice line to CustomerPackage,Backend,No silent credit decrement.,Not Started,Precious,Critical,Phase 1,
UAT,UX,Booking + billing completable in minimal taps on tablet,Frontend,Front-desk usability sign-off with client.,Not Started,Both,Critical,Phase 2,
