Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
Leave + Holidays + Payroll — Implementation Tracker,,,,,,,,,
Source: Leave-Clash-Swap-Implementation-Guide.docx + Attendance-Leave-Holidays-Payroll-Patch-Guide.docx | Heramb | August 2026,,,,,,,,,
Build order is fixed — do not skip stages. Leave guide Stages 1-7 first; then Payroll patch Stages A-E; then frontend.,,,,,,,,,
,,,,,,,,,
Sheet,Scope,Item Count,Primary Owner,,,,,,
01 Leave-Clash-Swap,"weekly_off_day, LeaveRequest, clash, is_paid, swap, Attendance sync, leave APIs",28,Arnav,,,,,,
02 Attendance-Holidays-Payroll,"Holiday model, attendance summary patch, PayrollRun/Entry, payrollService, payroll+holiday APIs",22,Arnav,,,,,,
03 Frontend-UAT,"Leave apply/approve/swap UI, holiday settings, payroll pages, MyEarnings, dry-run UAT",16,Arnav,,,,,,
,,,,,,,,,
TOTAL TASKS,,66,,,,,,,
,,,,,,,,,
BUILD RULES,,,,,,,,,
1. Implement Leave guide Stages 1-7 before any Payroll patch stage.,,,,,,,,,
2. Test each stage (REPL/Postman) before moving to the next — match Flowgenix trace-before-fix.,,,,,,,,,
3. Leave routes mount in preciousRoutes.js next to attendance (per Leave guide). Payroll mounts where payroll was planned (arnavRoutes.js).,,,,,,,,
4. Blackout rule lives in exactly one place: backend/constants/leaveConstants.js.,,,,,,,,,
5. Fri/Sat/Sun overrides everything — never a valid off date.,,,,,,,,,
6. Payroll is direct-pay only: base_salary - unpaid-day deduction + commission. No tax slabs.,,,,,,,,,
7. Dry-run one employee one month by hand before trusting net_payable on real staff.,,,,,,,,,
,,,,,,,,,
STATUS KEY,,,,,,,,,
Not Started | In Progress | Blocked | Done | Verified,,,,,,,,,
