Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
"ARNAV — SERVICE, PRODUCT, TAX MASTERS",,,,,,,,,
Service Master,DB,"models/ServiceCategory.js, models/ServiceMaster.js",DB,"Category: name. Service: category_id, name, duration_minutes, price, commission_slab_override_id, is_active.",Not Started,Arnav,Critical,Phase 1,
Service Master,Backend,"CRUD /api/service-categories, /api/services",Backend,routes/serviceRoutes.js in arnavRoutes.,Not Started,Arnav,Critical,Phase 1,
Service Master,Frontend,"pages/settings/services/ServiceList.jsx, ServiceForm.jsx",Frontend,Settings > Services; category filter; duration/price/commission override.,Not Started,Arnav,High,Phase 1,
Product Master,DB,models/ProductMaster.js,DB,"name, sku, unit, purchase_price, sale_price, current_stock, reorder_level, is_active.",Not Started,Arnav,Critical,Phase 1,Precious reads stock via API in billing — does not edit this model.
Product Master,Backend,CRUD /api/products,Backend,Includes GET low-stock list for dashboard alerts.,Not Started,Arnav,Critical,Phase 1,
Product Master,Frontend,"pages/settings/products/ProductList.jsx, ProductForm.jsx",Frontend,Stock level display; reorder level field.,Not Started,Arnav,High,Phase 1,
Tax/GST Master,DB,models/TaxMaster.js,DB,"name, rate, applies_to (service|product|both), is_active.",Not Started,Arnav,High,Phase 1,
Tax/GST Master,Backend,CRUD /api/taxes,Backend,Used by billing service (Precious consumes).,Not Started,Arnav,High,Phase 1,
Tax/GST Master,Frontend,"pages/settings/tax/TaxList.jsx, TaxForm.jsx",Frontend,Separate rates for services vs products.,Not Started,Arnav,Medium,Phase 1,
"PRECIOUS — STAFF, SHIFT, PACKAGE MASTERS",,,,,,,,,
Staff Master,DB,"models/StaffProfile.js, models/CommissionSlab.js",DB,"StaffProfile: user_id, designation, specialization[], commission_slab_id, base_salary, shift_id, joining_date. CommissionSlab: name, type, rules_json.",Not Started,Precious,Critical,Phase 1,
Staff Master,Backend,"CRUD /api/staff, /api/commission-slabs",Backend,routes/staffRoutes.js in preciousRoutes; filter stylists by specialization for bookings API consumer.,Not Started,Precious,Critical,Phase 1,
Staff Master,Frontend,"pages/settings/staff/StaffList.jsx, StaffForm.jsx",Frontend,"Link to User; specialization multi-select; salary, shift, commission slab.",Not Started,Precious,High,Phase 1,
Shift/Attendance Rules,DB,"models/ShiftMaster.js, models/AttendanceRule.js",DB,"Shift: name, start_time, end_time. Rules: late_mark_minutes, leave_types json.",Not Started,Precious,High,Phase 1,
Shift/Attendance Rules,Backend,"CRUD /api/shifts, /api/attendance-rules",Backend,Feeds attendance + payroll deduction logic.,Not Started,Precious,High,Phase 1,
Shift/Attendance Rules,Frontend,"pages/settings/attendance/ShiftList.jsx, AttendanceRulesForm.jsx",Frontend,Settings > Attendance Rules.,Not Started,Precious,Medium,Phase 1,
Package Master,DB,models/PackageMaster.js,DB,"type (prepaid_bundle|membership), validity_days, price, included_services json, credit_count, discount_logic_json.",Not Started,Precious,Critical,Phase 1,
Package Master,Backend,CRUD /api/package-masters,Backend,routes/packageMasterRoutes.js,Not Started,Precious,Critical,Phase 1,
Package Master,Frontend,"pages/settings/packages/PackageMasterList.jsx, PackageMasterForm.jsx",Frontend,Define prepaid vs membership; credit count; discount logic JSON fields with UI helpers.,Not Started,Precious,High,Phase 1,
ARNAV — CUSTOMER MASTER (CRM OWNER),,,,,,,,,
Customer Master,DB,models/Customer.js,DB,"name, phone (unique), dob, anniversary_date, gender, tags[], preferred_stylist_id, notes, created_at.",Not Started,Arnav,Critical,Phase 1,Precious uses GET/POST search API only in booking/billing screens.
Customer Master,Backend,CRUD /api/customers + GET /api/customers/search?q=,Backend,Quick search for booking/billing; auto-create on first visit endpoint.,Not Started,Arnav,Critical,Phase 1,
Customer Master,Frontend,components/customers/CustomerSearchOrCreate.jsx,Frontend,Shared component imported by Arnav bookings + Precious billing (Arnav owns file).,Not Started,Arnav,Critical,Phase 1,Single owner prevents merge conflicts on customer UI.
PRECIOUS — WHATSAPP TEMPLATE MASTER,,,,,,,,,
WhatsApp Template,DB,models/WhatsAppTemplate.js,DB,"name, trigger_type, message_body, is_active.",Not Started,Precious,High,Phase 1,
WhatsApp Template,Backend,CRUD /api/whatsapp-templates,Backend,Owner/Manager only.,Not Started,Precious,High,Phase 1,
WhatsApp Template,Frontend,"pages/settings/whatsapp/TemplateList.jsx, TemplateForm.jsx",Frontend,Pre-approved message templates for campaigns.,Not Started,Precious,Medium,Phase 1,
