Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
FEATURE 1 — PER-EMPLOYEE LATE-MARK BUFFER,,,,,,,,,
Late buffer,DB,StaffProfile.late_mark_buffer_minutes,DB,"Number min 0 max 30 default null. null/unset = use salon default (10). Additive; no migration.",Done,Arnav,Critical,Feature 1,backend/models/StaffProfile.js — include in toSafeObject.
Late buffer,Backend,resolveLateMarkMinutesForStaff(),Backend,"If staff.late_mark_buffer_minutes is number (incl 0) use it; else getLateMarkMinutesForBranch(branchId).",Done,Arnav,Critical,Feature 1,attendancePunchService.js — 0 is valid (any lateness is late); do not treat 0 as default.
Late buffer,Backend,resolvePunchInStatus uses staff override first,Backend,"Call resolveLateMarkMinutesForStaff(targetStaff branchId) instead of branch-only lookup.",Done,Arnav,Critical,Feature 1,Downstream 3-lates payroll unchanged — consumes status only.
Late buffer,Backend,staffRoutes whitelist + validate,Backend,"PATCH/PUT StaffProfile accepts late_mark_buffer_minutes: integer 0–30 or null. 400 otherwise.",Done,Arnav,Critical,Feature 1,Reuse existing staff update route. Permission already on staff edit.
Late buffer,Frontend,StaffForm late buffer field,Frontend,"Numeric 0–30 optional. Placeholder Default (10 min). Blank submits null not 0. Place near shift/salary. Teal S21 form styles.",Done,Arnav,Critical,Feature 1,frontend/src/pages/settings/staff/StaffForm.jsx — match existing StaffForm inputs.
Late buffer,Frontend,StaffList optional column,Frontend,"Show Late buffer: N min or Default. Same user-table as rest of Settings.",Done,Arnav,High,Feature 1,StaffList.jsx — trivial add if table already lists shift/salary.
Late buffer,Permission,Reuse staff:edit,All,Do not create a new permission module. Same usePermission gate as StaffForm save.,Done,Arnav,High,Feature 1,"No staff module in RBAC — reused settings|employees create/edit/delete (Staff Master + /employees). Late buffer has no separate permission. GET /staff left open for POS/bookings."
Late buffer,Test,Staff A buffer 5 vs B 15 vs C blank,Test,"Shift+7min: A late; B present; C present if default 10.",Done,Arnav,Critical,Feature 1,Extended testPunchLateStatus.js — npm run test:punch-late-status.
Late buffer,Test,Blank vs 0 distinction,Test,Empty form → null (salon default). Explicit 0 → late immediately after shift start.,Done,Arnav,Critical,Feature 1,Extended testPunchLateStatus.js — blank→null; 0→late at shift+1.
Late buffer,Test,Branch AttendanceRule still applies,Test,Staff with no override still uses branch/global AttendanceRule then hardcoded 10.,Done,Arnav,High,Feature 1,Extended testPunchLateStatus.js — getLateMarkMinutesForBranch kept; null override uses branch rule.
Late buffer,UI,Match existing Staff Master theme,Frontend,"Teal hero already on staff pages; new field uses same labels/inputs as joining_date/shift — no new card system.",Done,Arnav,High,Feature 1,Live StaffForm form-group/form-control + form-hint; StaffList staff-meta-muted column. No new visual system.
Late buffer,UAT,Owner sets per-stylist buffers and punches,UAT,Owner confirms punch status matches each staff's minutes on next punch only (not retroactive).,Done,Arnav,High,Feature 1,npm run test:uat-late-buffer-punch — A/B/C at +7; mid-month buffer change does not rewrite past Attendance.
