Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
Salon Management System — Implementation Tracker,,,,,,,,,
Source: Implementation Guide + Technical Spec | MERN + PWA | Arnav + Precious,,,,,,,,,
,,,,,,,,,
Sheet,Scope,Item Count,Primary Owner,,,,,,
01 Architecture-Foundation,"MERN scaffold, merge-safe routing, branch schema, seeds, audit log",21,Arnav (scaffold) + shared routing contract,,,,,,
02 RBAC-User-Management,"Step zero: roles, permissions, login, user mgmt, staff self-service views",19,Arnav,,,,,,
03 Masters-Settings,Service/Product/Tax/Customer (Arnav); Staff/Shift/Package/WA Template (Precious),24,Split — see sheet,,,,,,
04 Bookings,"Internal bookings Phase 1, conflict engine, walk-ins, billing handoff",9,Arnav,,,,,,
05 Billing-POS-Inventory,"POS, invoices, stock deduct, commission entries, GST, inventory views",11,Precious,,,,,,
06 Attendance-Payroll,Punch attendance (Precious); commission engine + payroll run (Arnav),13,Precious (attendance) + Arnav (payroll),,,,,,
07 CRM-WhatsApp,"Visit log, segmentation, customer profile (Arnav); WABA campaigns (Precious)",13,Arnav (CRM) + Precious (WhatsApp),,,,,,
08 Packages,"CustomerPackage sale/redemption, client interpretation gate",7,Precious,,,,,,
09 Reports-Dashboard,Owner dashboard + revenue/staff/retention (Arnav); attendance/inventory/package/campaign reports (Precious),12,Split — see sheet,,,,,,
10 Phases-Acceptance,"Phase 0-3 milestones, client open items, UAT criteria",27,Both,,,,,,
,,,,,,,,,
TOTAL TASKS,,156,,,,,,,
,,,,,,,,,
MERGE-CONFLICT RULES,,,,,,,,,
1. Arnav owns backend/routes/arnavRoutes.js + frontend/src/routes/arnavRoutes.jsx — Precious owns preciousRoutes equivalents.,,,,,,,,,
2. Never edit the other dev's route aggregator; register new routes only in your own file.,,,,,,,,,
"3. Shared components have a single owner (noted in Notes column) — import, don't duplicate.",,,,,,,,,
4. Customer model + CustomerSearchOrCreate.jsx = Arnav. Precious consumes APIs only.,,,,,,,,,
5. ProductMaster = Arnav. Stock deduction logic = Precious billingService only.,,,,,,,,,
6. Phase 0 scaffold merged by Arnav before Precious starts feature branches.,,,,,,,,,
"7. Cross-module contracts (bookingId handoff, invoice.paid event) documented in README — agree before coding.",,,,,,,,,
