Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
Pending Client Changes — Implementation Tracker,,,,,,,,,
"Source: IMPLEMENTATION_GUIDE_PENDING_CHANGES.md (Tech Lead) | Client 4-feature pack | August 2026",,,,,,,,,
Build order is fixed — Feature 1 then 2 then 3 then 4. Do not start Feature 4 payroll deduction until 4.7 open points are confirmed.,,,,,,,,,
,,,,,,,,,
Sheet,Scope,Item Count,Primary Owner,,,,,,
01 Late-Buffer,"StaffProfile late_mark_buffer_minutes; punch resolution; StaffForm/StaffList UI",12,Arnav,,,,,,
02 Customer-Import-CRM,"Wipe dummy CRM; seed ~3000 client customers; import API; inactive-visit CRM alert; CRM lazy load",32,Arnav,,,,,,
03 Family-Wallet-Package,"amount_wallet package type; family linking; POS rupee deduction; void restore",21,Arnav,,,,,,
04 Redo-Rework,"RedoRequest flow; ₹0 redo invoice; stock reason redo; payroll product-cost cut",23,Arnav,,,,,,
,,,,,,,,,
TOTAL TASKS,,88,,,,,,,
,,,,,,,,,
BUILD RULES (from tech-lead MD),,,,,,,,,
1. Touch ONLY live files mounted from backend/routes/index.js frontend/src/routes/index.jsx frontend-mobile/src/App.jsx. Never edit dead/legacy files listed in MD section 0.3.,,,,,,,,,
2. Backend: thin routes + services/*.js. Money/stock writes go through withTransaction. Stock ONLY via stockService deductStock/addStock. Never trust client totals.,,,,,,,,,
3. Auth: authenticate + requirePermission on every new route. Reuse existing modules (staff crm packages billing payroll). Do not invent new permission modules.,,,,,,,,,
4. Frontend: new APIs under frontend/src/api/arnav or precious; re-export from api/index.js. Pages use module-hero-header user-table user-table-card status-card S21 teal. Do NOT use dead DataTable/FormField/Modal.,,,,,,,,,
5. Register pages with guardedRoute in arnavRoutes.jsx or preciousRoutes.jsx matching existing module/action of that area.,,,,,,,,,
6. UI must match the live app: teal hero header sharp corners user-primary-btn--hero. No new visual system.,,,,,,,,,
7. Feature 2 data: wipe dummy customers first (npm run seed:clear-customers) then import repo-root Contacts-24-Aug-02-31.xlsx (~3007 rows; Full Name + Mobile 1-4). Primary phone = first mobile; unused mobiles + Email + Address MUST go into notes. Phone is the unique merge key. Do not commit that PII xlsx.,,,,,,,,,
8. Named constants for client-tunable numbers: MAX_WALLET_FAMILY_MEMBERS=6 REDO_WINDOW_DAYS=7 inactive threshold query default 60 CUSTOMER_LIST_PAGE_SIZE=25. Do not scatter magic numbers.,,,,,,,,,
9. After seeding ~3000 customers NEVER load the full CRM set into the browser. Paginated GET /customers + CrmHome Load more (lazy). POS/booking stay typeahead search. WhatsApp must not hydrate all customers.,,,,,,,,,
,,,,,,,,,
STATUS KEY,,,,,,,,,
Not Started | In Progress | Blocked | Done | Verified,,,,,,,,,
,,,,,,,,,
OPEN POINTS (code defaults; flag for client),,,,,,,,,
F2 inactive threshold + import headers — handover doc docs/Feature-2-CRM-Client-Open-Points.md (default 60d; UI 30/45/60/90; Contacts column map). Desktop CRM only v1. CRM pageSize 25 lazy load.,,,,,,,,,
F3 GST at wallet purchase not redemption; overspend pays difference; max 6 family members; no wallet refund.,,,,,,,,,
F4 deduct redo_staff_id; cost = purchase_price snapshot; 7-day window; one redo per original service line.,,,,,,,,,
