Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
FEATURE 2 — CUSTOMER DB WIPE + ~3000 CLIENT SEED + IMPORT + INACTIVE CRM,,,,,,,,,
Data prep,Ops,Confirm client customer file received,Ops,"File at project root: Contacts-24-Aug-02-31.xlsx. Sheet contactbackup. ~3007 data rows (~3005 named / ~2999 with a mobile). Do not commit this PII file to git.",Done,Arnav,Critical,Feature 2,"Headers: SNo | Full Name | Email | Address | Mobile 1 | Mobile 2 | Mobile 3 | Mobile 4. No dob/gender/last_visit in file."
Data prep,Ops,Wipe dummy / demo CRM customers,Ops,"Run existing npm run seed:clear-customers — deletes dummy customers plus their bookings invoices packages WA campaigns. Does not touch users/staff/services/products.",Done,Arnav,Critical,Feature 2,"Ran npm run seed:clear-customers — CRM already empty (0 customers). Wipe script OK before real import."
Data prep,Ops,Verify CRM empty after wipe,Ops,GET /customers (or CRM UI) shows 0 rows. No leftover demo names.,Done,Arnav,Critical,Feature 2,"Verified Customer.countDocuments()=0 after wipe. Safe to proceed with schema + import."
Customer schema,DB,Customer import fields,DB,"imported_last_visit_date Date; source enum app|import default app; import_batch_id String; import_row_ref String. phone stays unique.",Done,Arnav,Critical,Feature 2,backend/models/Customer.js — additive only; included in toSafeObject.
Customer schema,DB,CustomerImportBatch model,DB,"file_name uploaded_by total_rows created/merged/skipped error_rows status processing|completed|failed timestamps.",Done,Arnav,Critical,Feature 2,backend/models/CustomerImportBatch.js — registered in server.js.
Import API,Deps,xlsx + multer if missing,Backend,Install only if not already in backend/package.json. Copy existing multer memory+5MB+csv/xlsx filter from live routes if any.,Done,Arnav,High,Feature 2,"xlsx already present. Installed multer. Added middleware/customerImportUpload.js (memory 5MB csv/xlsx) — no prior multer in live routes."
Import API,Backend,customerImportService.parseCustomerImportFile,Backend,"CSV/XLSX via xlsx. Support MD headers (name phone dob gender last_visit_date notes) AND client Contacts headers (Full Name Mobile 1-4 Email Address). Normalize primary phone to 10 digits; build notes from unused mobiles + email + address.",Done,Arnav,Critical,Feature 2,backend/services/customerImportService.js — CUSTOMER_IMPORT_HEADER_ALIASES + normalizeImportPhone + buildImportNotes.
Import API,Backend,importCustomers row-by-row,Backend,"Create batch processing. Invalid row → error_rows skip. New phone → create source import with notes holding unused mobiles + email + address. Existing phone → merge empty fields only never overwrite name/phone; if notes empty fill from unused mobiles/email/address. Per-row try/catch not one big transaction.",Done,Arnav,Critical,Feature 2,customerImportService.importCustomers — smoke: seeds/testImportCustomersRow10.js
Import API,Backend,POST /api/customers/import,Backend,"requirePermission crm edit; multer single file; sendSuccess batch summary.",Done,Arnav,Critical,Feature 2,customerRoutes.js — POST /import before /:id; customerImportUpload.single(file).
Import API,Backend,GET /api/customers/import/:batchId,Backend,requirePermission crm view. Return batch counts + error_rows.,Done,Arnav,High,Feature 2,customerRoutes.js — GET /import/:batchId before /:id.
Seed 3000,Ops,Map client columns to parser,Ops,"Map Contacts-24-Aug-02-31.xlsx → Customer: Full Name→name; phone=first non-empty of Mobile 1..4 (normalize / strip +91); REQUIRED: remaining Mobile 2–4 (unused) + Email + Address → notes (e.g. Alt phones: … | Email: … | Address: …); skip SNo. No dob/gender/last_visit_date → leave null.",Done,Arnav,Critical,Feature 2,"Locked in customerImportConstants.js + HEADER_ALIASES. File headers match; ~3007 rows / ~2999 with mobile."
Seed 3000,Backend,Seed/import the ~3000 client customers,Backend,"After wipe: import Contacts-24-Aug-02-31.xlsx via POST /customers/import (owner) OR npm run seed:client-customers pointing at that root path. Target ~3000 unique phones from Mobile columns. Report created/merged/skipped/errors.",Done,Arnav,Critical,Feature 2,"npm run seed:client-customers — created=2813 merged=143 skipped=51 total_rows=3007; customers_now=2813. CustomerImportBatch audit exists."
Seed 3000,Test,Verify count and unique phones,Test,"Customer.countDocuments ≈ unique Mobile phones in Contacts-24-Aug-02-31.xlsx. No duplicate phones. Sample Full Name + Mobile 1 match DB. Rows with no mobile go to error_rows / skipped.",Done,Arnav,Critical,Feature 2,"Verified: DB=2813=file unique phones; 0 dups; sample 5/5 match; skipped=51. node seeds/testClientCustomersSeedVerify.js"
Inactive alert,Backend,getInactiveCustomers({thresholdDays}),Backend,"Latest paid/partial Invoice.billing_date per customer else imported_last_visit_date. Never-visited = inactive. Sort days_since desc. Default threshold 60.",Done,Arnav,Critical,Feature 2,backend/services/crmAlertService.js — DEFAULT_INACTIVE_THRESHOLD_DAYS=60. Smoke: 2813 never-visited inactive at 60.
Inactive alert,Backend,GET /api/customers/inactive,Backend,"Query threshold_days default 60. requirePermission crm view.",Done,Arnav,Critical,Feature 2,customerRoutes.js — GET /inactive before /:id.
Frontend,API,arnav customersApi import + inactive,Frontend,"importCustomers(FormData); getInactiveCustomers({thresholdDays}); getImportBatch. Re-export arnavApi.",Done,Arnav,Critical,Feature 2,frontend/src/api/arnav/customersApi.js + arnav/index.js re-exports.
Frontend,UI,CrmImportCustomers.jsx,Frontend,"Upload csv/xlsx; show created/merged/skipped + error table. module-hero-header + status-card. No preview step required v1.",Done,Arnav,Critical,Feature 2,frontend/src/pages/crm/CrmImportCustomers.jsx — teal hero + crm-table; route in later row.
Frontend,UI,CrmInactiveCustomers.jsx,Frontend,"Copy CrmPendingCredits structure. Table: Name Phone Last Visit Days Since. Threshold dropdown 30/45/60/90 re-fetches.",Done,Arnav,Critical,Feature 2,frontend/src/pages/crm/CrmInactiveCustomers.jsx — crm-toolbar + crm-table; tab wire in next row.
Frontend,UI,CrmHome tab + Import button,Frontend,"Inactive Customers tab sibling to pending credits pattern. Import Customers button → import route. Same CRM permission as CrmHome.",Done,Arnav,Critical,Feature 2,crm view for tab; Import uses crm edit → /crm/import (route next row).
Frontend,Routes,guardedRoute CRM pages,Frontend,"Inactive: crm view. Import: crm edit. arnavRoutes.jsx.",Done,Arnav,Critical,Feature 2,/crm/inactive (view) + /crm/import (edit) in arnavRoutes.jsx.
Frontend,UI,Keep S21 CRM visual language,Frontend,Teal hero white cards user-table user-filter-btn. No new dashboard chrome.,Done,Arnav,High,Feature 2,"Import + inactive: module-hero, status-card, user-table, user-filter-btn thresholds; crm-import-dropzone in CrmHome.css. No mobile inactive screen."
Lazy load,Prompt,Tech-lead: do not hydrate ~3000 customers in FE,All,"OPTIMISED APPROACH — After Contacts-24-Aug-02-31.xlsx is seeded (~3000), never GET/render the full customer collection. Server-paginate GET /customers with page + pageSize (default CUSTOMER_LIST_PAGE_SIZE=25 max 50) returning {items total page pageSize hasMore}. CrmHome loads page 1 only; a Load more button (existing crm-btn) appends the next page while hasMore. Search is server-side and resets to page 1 (debounce ~300ms). Toolbar Total customers = API total not rows.length. Inactive list uses the same page/hasMore pattern. POS + CustomerSearchOrCreate stay typeahead (searchCustomers min 2 chars) — do not list-all. WhatsApp offers must not receive a 3000-row array; select via search or a server audience query. Keep live crm-table / crm-btn styles; no new UI kit and no virtualizer library.",Done,Arnav,Critical,Feature 2,"Approach locked in .cursor/rules/crm-lazy-load.mdc + IMPLEMENTATION_GUIDE §2.6a. Build starts row 25 (CUSTOMER_LIST_PAGE_SIZE). Today still listCustomers({limit:100})."
Lazy load,Constants,CUSTOMER_LIST_PAGE_SIZE,Backend,Named constant 25 in backend/constants (customerConstants.js). Cap pageSize at 50. Do not raise listCustomers max to 3000.,Done,Arnav,Critical,Feature 2,"backend/constants/customerConstants.js — CUSTOMER_LIST_PAGE_SIZE=25, CUSTOMER_LIST_MAX_PAGE_SIZE=50, resolveCustomerListPageSize(). Wire in listCustomers next row."
Lazy load,Backend,Paginate listCustomers,Backend,"listCustomers({search page pageSize}) uses skip/limit + countDocuments. Return {items total page pageSize hasMore}. Keep sort name:1. Unbounded find() is not allowed.",Done,Arnav,Critical,Feature 2,"customerService.listCustomers — skip/limit + countDocuments; max pageSize 50 via resolveCustomerListPageSize. Controller still returns items[] until row 27 envelope."
Lazy load,Backend,GET /customers paginated response,Backend,"Query page (default 1) pageSize (default 25) search. sendSuccess data = {items: toSafeObject[] total page pageSize hasMore}. Backward-compat: if old clients expect a bare array document in Notes and prefer the new shape only.",Done,Arnav,Critical,Feature 2,"listCustomersHandler returns paginated envelope; customersApi documents + maps limit→pageSize. CrmHome consumer update row 28."
